Seconds;mV
2.252;0.185
2.256;0.160
2.260;0.170
2.264;0.160
2.268;0.170
2.272;0.160
2.276;0.155
2.280;0.165
2.284;0.160
2.288;0.140
2.292;0.170
2.296;0.170
2.300;0.165
2.304;0.180
2.308;0.155
2.312;0.160
2.316;0.160
2.320;0.155
2.324;0.175
2.328;0.175
2.332;0.180
2.336;0.185
2.340;0.165
2.344;0.145
2.348;0.185
2.352;0.160
2.356;0.170
2.360;0.180
2.364;0.155
2.368;0.140
2.372;0.035
2.376;-0.045
2.380;-0.125
2.384;-0.185
2.388;-0.135
2.392;0.040
2.396;0.350
2.400;0.605
2.404;0.765
2.408;0.820
2.412;0.800
2.416;0.695
2.420;0.585
2.424;0.500
2.428;0.440
2.432;0.410
2.436;0.410
2.440;0.370
2.444;0.305
2.448;0.310
2.452;0.280
2.456;0.275
2.460;0.260
2.464;0.260
2.468;0.270
2.472;0.240
2.476;0.275
2.480;0.235
2.484;0.230
2.488;0.210
2.492;0.205
2.496;0.180
2.500;0.125
2.504;0.140
2.508;0.135
2.512;0.145
2.516;0.135
2.520;0.135
2.524;0.145
2.528;0.155
2.532;0.140
2.536;0.175
2.540;0.140
2.544;0.145
2.548;0.170
2.552;0.165
2.556;0.185
2.560;0.175
2.564;0.160
2.568;0.180
2.572;0.175
2.576;0.170
2.580;0.185
2.584;0.190
2.588;0.180
2.592;0.170
2.596;0.160
2.600;0.155
2.604;0.170
2.608;0.160
2.612;0.170
2.616;0.150
2.620;0.155
2.624;0.155
2.628;0.145
2.632;0.145
2.636;0.145
2.640;0.140
2.644;0.150
2.648;0.130
2.652;0.130
2.656;0.145
2.660;0.130
2.664;0.145
2.668;0.155
2.672;0.140
2.676;0.120
2.680;0.135
2.684;0.160
2.688;0.160
2.692;0.150
2.696;0.175
2.700;0.180
2.704;0.180
2.708;0.175
2.712;0.190
2.716;0.195
2.720;0.200
2.724;0.225
2.728;0.210
2.732;0.220
2.736;0.210
2.740;0.180
2.744;0.220
2.748;0.195
2.752;0.210
2.756;0.205
2.760;0.220
2.764;0.220
2.768;0.200
2.772;0.190
2.776;0.195
2.780;0.215
2.784;0.195
2.788;0.190
2.792;0.200
2.796;0.185
2.800;0.200
2.804;0.195
2.808;0.185
2.812;0.180
2.816;0.180
2.820;0.190
2.824;0.190
2.828;0.210
2.832;0.215
2.836;0.220
2.840;0.205
2.844;0.170
2.848;0.205
2.852;0.205
2.856;0.200
2.860;0.175
2.864;0.190
2.868;0.190
2.872;0.190
2.876;0.200
2.880;0.190
2.884;0.195
2.888;0.175
2.892;0.160
2.896;0.190
2.900;0.200
2.904;0.205
2.908;0.190
2.912;0.195
2.916;0.175
2.920;0.190
2.924;0.190
2.928;0.195
2.932;0.190
2.936;0.205
2.940;0.195
2.944;0.200
2.948;0.195
2.952;0.210
2.956;0.195
2.960;0.190
2.964;0.195
2.968;0.180
2.972;0.175
2.976;0.170
2.980;0.180
2.984;0.170
2.988;0.180
2.992;0.190
2.996;0.160
3.000;0.175
3.004;0.180
3.008;0.180
3.012;0.185
3.016;0.165
3.020;0.180
3.024;0.180
3.028;0.145
3.032;0.180
3.036;0.180
3.040;0.170
3.044;0.170
3.048;0.160
3.052;0.155
3.056;0.135
3.060;0.125
3.064;0.155
3.068;0.140
3.072;0.140
3.076;0.160
3.080;0.155
3.084;0.160
3.088;0.185
3.092;0.190
3.096;0.180
3.100;0.190
3.104;0.190
3.108;0.205
3.112;0.200
3.116;0.195
3.120;0.185
3.124;0.185
3.128;0.160
3.132;0.170
3.136;0.195
3.140;0.190
3.144;0.175
3.148;0.160
3.152;0.165
3.156;0.160
3.160;0.150
3.164;0.175
3.168;0.150
3.172;0.175
3.176;0.195
3.180;0.190
3.184;0.180
3.188;0.175
3.192;0.180
3.196;0.180
3.200;0.170
3.204;0.155
3.208;0.160
3.212;0.160
3.216;0.170
3.220;0.185
3.224;0.170
3.228;0.155
3.232;0.180
3.236;0.160
3.240;0.160
3.244;0.170
3.248;0.165
3.252;0.165
3.256;0.175
3.260;0.155
3.264;0.165
3.268;0.105
3.272;0.030
3.276;-0.050
3.280;-0.145
3.284;-0.165
3.288;-0.120
3.292;0.060
3.296;0.340
3.300;0.620
3.304;0.760
3.308;0.810
3.312;0.780
3.316;0.680
3.320;0.575
3.324;0.485
3.328;0.445
3.332;0.420
3.336;0.380
3.340;0.365
3.344;0.335
3.348;0.300
3.352;0.260
3.356;0.265
3.360;0.255
3.364;0.280
3.368;0.275
3.372;0.260
3.376;0.255
3.380;0.235
3.384;0.240
3.388;0.230
3.392;0.180
3.396;0.150
3.400;0.130
3.404;0.120
3.408;0.125
3.412;0.100
3.416;0.110
3.420;0.105
3.424;0.135
3.428;0.140
3.432;0.160
3.436;0.145
3.440;0.160
3.444;0.175
3.448;0.145
3.452;0.170
3.456;0.170
3.460;0.160
3.464;0.155
3.468;0.175
3.472;0.150
3.476;0.165
3.480;0.190
3.484;0.180
3.488;0.155
3.492;0.160
3.496;0.145
3.500;0.155
3.504;0.150
3.508;0.170
3.512;0.170
3.516;0.160
3.520;0.145
3.524;0.155
3.528;0.155
3.532;0.140
3.536;0.160
3.540;0.150
3.544;0.130
3.548;0.160
3.552;0.170
3.556;0.135
3.560;0.135
3.564;0.130
3.568;0.130
3.572;0.120
3.576;0.120
3.580;0.145
3.584;0.155
3.588;0.155
3.592;0.150
3.596;0.155
3.600;0.185
3.604;0.175
3.608;0.180
3.612;0.170
3.616;0.205
3.620;0.205
3.624;0.200
3.628;0.205
3.632;0.225
3.636;0.210
3.640;0.205
3.644;0.195
3.648;0.210
3.652;0.220
3.656;0.230
3.660;0.220
3.664;0.205
3.668;0.200
3.672;0.210
3.676;0.205
3.680;0.180
3.684;0.180
3.688;0.185
3.692;0.205
3.696;0.200
3.700;0.185
3.704;0.195
3.708;0.190
3.712;0.170
3.716;0.175
3.720;0.180
3.724;0.175
3.728;0.190
3.732;0.185
3.736;0.170
3.740;0.185
3.744;0.195
3.748;0.170
3.752;0.175
3.756;0.180
3.760;0.155
3.764;0.190
3.768;0.170
3.772;0.175
3.776;0.170
3.780;0.180
3.784;0.160
3.788;0.185
3.792;0.180
3.796;0.190
3.800;0.170
3.804;0.185
3.808;0.185
3.812;0.175
3.816;0.175
3.820;0.190
3.824;0.200
3.828;0.165
3.832;0.200
3.836;0.160
3.840;0.180
3.844;0.185
3.848;0.180
3.852;0.185
3.856;0.180
3.860;0.185
3.864;0.175
3.868;0.185
3.872;0.170
3.876;0.170
3.880;0.180
3.884;0.175
3.888;0.175
3.892;0.165
3.896;0.170
3.900;0.180
3.904;0.190
3.908;0.195
3.912;0.185
3.916;0.190
3.920;0.195
3.924;0.195
3.928;0.185
3.932;0.185
3.936;0.160
3.940;0.160
3.944;0.160
3.948;0.160
3.952;0.160
3.956;0.145
3.960;0.155
3.964;0.140
3.968;0.155
3.972;0.140
3.976;0.155
3.980;0.140
3.984;0.175
3.988;0.170
3.992;0.170
3.996;0.175
4.000;0.190
4.004;0.200
4.008;0.175
4.012;0.195
4.016;0.175
4.020;0.175
4.024;0.190
4.028;0.185
4.032;0.160
4.036;0.155
4.040;0.170
4.044;0.175
4.048;0.195
4.052;0.170
4.056;0.160
4.060;0.170
4.064;0.155
4.068;0.180
4.072;0.175
4.076;0.155
4.080;0.175
4.084;0.185
4.088;0.155
4.092;0.180
4.096;0.165
4.100;0.165
4.104;0.150
4.108;0.135
4.112;0.165
4.116;0.165
4.120;0.150
4.124;0.175
4.128;0.160
4.132;0.150
4.136;0.150
4.140;0.150
4.144;0.150
4.148;0.145
4.152;0.160
4.156;0.160
4.160;0.155
4.164;0.170
4.168;0.145
4.172;0.115
4.176;0.060
4.180;-0.030
4.184;-0.115
4.188;-0.175
4.192;-0.180
4.196;-0.030
4.200;0.235
4.204;0.530
4.208;0.705
4.212;0.790
4.216;0.770
4.220;0.695
4.224;0.595
4.228;0.485
4.232;0.425
4.236;0.400
4.240;0.375
4.244;0.350
4.248;0.310
4.252;0.280
4.256;0.280
4.260;0.265
4.264;0.245
4.268;0.255
4.272;0.240
4.276;0.225
4.280;0.235
4.284;0.220
4.288;0.200
4.292;0.200
4.296;0.175
4.300;0.145
4.304;0.085
4.308;0.100
4.312;0.095
4.316;0.090
4.320;0.095
4.324;0.090
4.328;0.105
4.332;0.120
4.336;0.140
4.340;0.160
4.344;0.150
4.348;0.140
4.352;0.145
4.356;0.150
4.360;0.130
4.364;0.150
4.368;0.135
4.372;0.165
4.376;0.155
4.380;0.155
4.384;0.140
4.388;0.145
4.392;0.155
4.396;0.160
4.400;0.150
4.404;0.140
4.408;0.145
4.412;0.145
4.416;0.130
4.420;0.145
4.424;0.140
4.428;0.130
4.432;0.140
4.436;0.135
4.440;0.135
4.444;0.145
4.448;0.135
4.452;0.125
4.456;0.120
4.460;0.120
4.464;0.140
4.468;0.115
4.472;0.115
4.476;0.125
4.480;0.120
4.484;0.105
4.488;0.115
4.492;0.145
4.496;0.150
4.500;0.150
4.504;0.160
4.508;0.175
4.512;0.160
4.516;0.170
4.520;0.195
4.524;0.210
4.528;0.195
4.532;0.220
4.536;0.215
4.540;0.200
4.544;0.210
4.548;0.230
4.552;0.230
4.556;0.205
4.560;0.215
4.564;0.215
4.568;0.195
4.572;0.210
4.576;0.205
4.580;0.205
4.584;0.220
4.588;0.200
4.592;0.215
4.596;0.205
4.600;0.200
4.604;0.195
4.608;0.190
4.612;0.215
4.616;0.210
4.620;0.195
4.624;0.200
4.628;0.215
4.632;0.205
4.636;0.195
4.640;0.205
4.644;0.195
4.648;0.210
4.652;0.190
4.656;0.205
4.660;0.185
4.664;0.195
4.668;0.200
4.672;0.210
4.676;0.205
4.680;0.205
4.684;0.215
4.688;0.200
4.692;0.185
4.696;0.210
4.700;0.185
4.704;0.195
4.708;0.185
4.712;0.200
4.716;0.210
4.720;0.210
4.724;0.205
4.728;0.205
4.732;0.185
4.736;0.200
4.740;0.215
4.744;0.225
4.748;0.210
4.752;0.205
4.756;0.215
4.760;0.205
4.764;0.200
4.768;0.210
4.772;0.205
4.776;0.220
4.780;0.205
4.784;0.220
4.788;0.195
4.792;0.195
4.796;0.220
4.800;0.200
4.804;0.195
4.808;0.195
4.812;0.210
4.816;0.175
4.820;0.185
4.824;0.200
4.828;0.185
4.832;0.190
4.836;0.195
4.840;0.215
4.844;0.215
4.848;0.180
4.852;0.190
4.856;0.185
4.860;0.185
4.864;0.185
4.868;0.175
4.872;0.180
4.876;0.170
4.880;0.180
4.884;0.155
4.888;0.160
4.892;0.180
4.896;0.185
4.900;0.205
4.904;0.200
4.908;0.210
4.912;0.220
4.916;0.215
4.920;0.215
4.924;0.230
4.928;0.215
4.932;0.220
4.936;0.215
4.940;0.210
4.944;0.220
4.948;0.210
4.952;0.190
4.956;0.195
4.960;0.210
4.964;0.190
4.968;0.200
4.972;0.195
4.976;0.180
4.980;0.180
4.984;0.190
4.988;0.155
4.992;0.180
4.996;0.190
5.000;0.200
5.004;0.185
5.008;0.180
5.012;0.180
5.016;0.195
5.020;0.175
5.024;0.180
5.028;0.195
5.032;0.185
5.036;0.180
5.040;0.170
5.044;0.180
5.048;0.170
5.052;0.170
5.056;0.150
5.060;0.175
5.064;0.175
5.068;0.155
5.072;0.165
5.076;0.170
5.080;0.160
5.084;0.120
5.088;0.065
5.092;-0.020
5.096;-0.095
5.100;-0.155
5.104;-0.150
5.108;-0.005
5.112;0.255
5.116;0.540
5.120;0.695
5.124;0.760
5.128;0.790
5.132;0.710
5.136;0.600
5.140;0.495
5.144;0.465
5.148;0.405
5.152;0.380
5.156;0.365
5.160;0.330
5.164;0.305
5.168;0.290
5.172;0.275
5.176;0.245
5.180;0.230
5.184;0.245
5.188;0.255
5.192;0.240
5.196;0.210
5.200;0.210
5.204;0.195
5.208;0.175
5.212;0.150
5.216;0.135
5.220;0.125
5.224;0.085
5.228;0.100
5.232;0.085
5.236;0.105
5.240;0.135
5.244;0.155
5.248;0.130
5.252;0.120
5.256;0.150
5.260;0.160
5.264;0.150
5.268;0.140
5.272;0.150
5.276;0.160
5.280;0.160
5.284;0.150
5.288;0.150
5.292;0.155
5.296;0.160
5.300;0.160
5.304;0.155
5.308;0.155
5.312;0.150
5.316;0.165
5.320;0.145
5.324;0.150
5.328;0.180
5.332;0.135
5.336;0.135
5.340;0.130
5.344;0.150
5.348;0.135
5.352;0.145
5.356;0.160
5.360;0.120
5.364;0.115
5.368;0.130
5.372;0.140
5.376;0.130
5.380;0.120
5.384;0.140
5.388;0.125
5.392;0.115
5.396;0.120
5.400;0.135
5.404;0.120
5.408;0.150
5.412;0.145
5.416;0.160
5.420;0.170
5.424;0.160
5.428;0.170
5.432;0.175
5.436;0.175
5.440;0.190
5.444;0.190
5.448;0.185
5.452;0.205
5.456;0.210
5.460;0.190
5.464;0.195
5.468;0.205
5.472;0.215
5.476;0.190
5.480;0.215
5.484;0.210
5.488;0.195
5.492;0.200
5.496;0.205
5.500;0.195
5.504;0.180
5.508;0.200
5.512;0.185
5.516;0.190
5.520;0.185
5.524;0.190
5.528;0.190
5.532;0.185
5.536;0.190
5.540;0.205
5.544;0.220
5.548;0.190
5.552;0.185
5.556;0.195
5.560;0.205
5.564;0.185
5.568;0.210
5.572;0.195
5.576;0.195
5.580;0.220
5.584;0.205
5.588;0.195
5.592;0.215
5.596;0.220
5.600;0.195
5.604;0.210
5.608;0.220
5.612;0.210
5.616;0.220
5.620;0.190
5.624;0.205
5.628;0.200
5.632;0.215
5.636;0.220
5.640;0.215
5.644;0.215
5.648;0.210
5.652;0.215
5.656;0.210
5.660;0.195
5.664;0.210
5.668;0.210
5.672;0.225
5.676;0.230
5.680;0.195
5.684;0.205
5.688;0.220
5.692;0.200
5.696;0.195
5.700;0.210
5.704;0.230
5.708;0.200
5.712;0.205
5.716;0.210
5.720;0.215
5.724;0.205
5.728;0.205
5.732;0.195
5.736;0.215
5.740;0.220
5.744;0.195
5.748;0.215
5.752;0.195
5.756;0.185
5.760;0.200
5.764;0.175
5.768;0.185
5.772;0.180
5.776;0.190
5.780;0.180
5.784;0.195
5.788;0.220
5.792;0.195
5.796;0.220
5.800;0.215
5.804;0.210
5.808;0.230
5.812;0.245
5.816;0.245
5.820;0.245
5.824;0.245
5.828;0.230
5.832;0.225
5.836;0.225
5.840;0.195
5.844;0.225
5.848;0.225
5.852;0.215
5.856;0.210
5.860;0.215
5.864;0.205
5.868;0.200
5.872;0.180
5.876;0.205
5.880;0.195
5.884;0.205
5.888;0.200
5.892;0.210
5.896;0.210
5.900;0.205
5.904;0.200
5.908;0.200
5.912;0.195
5.916;0.210
5.920;0.195
5.924;0.205
5.928;0.190
5.932;0.190
5.936;0.190
5.940;0.175
5.944;0.195
5.948;0.175
5.952;0.185
5.956;0.180
5.960;0.185
5.964;0.180
5.968;0.165
5.972;0.190
5.976;0.165
5.980;0.135
5.984;0.080
5.988;0.015
5.992;-0.075
5.996;-0.145
6.000;-0.160
6.004;-0.090
6.008;0.155
6.012;0.430
6.016;0.620
6.020;0.705
6.024;0.765
6.028;0.725
6.032;0.625
6.036;0.550
6.040;0.485
6.044;0.460
6.048;0.430
6.052;0.390
6.056;0.370
6.060;0.315
6.064;0.305
6.068;0.280
6.072;0.250
6.076;0.230
6.080;0.250
6.084;0.265
6.088;0.235
6.092;0.240
6.096;0.215
6.100;0.215
6.104;0.170
6.108;0.175
6.112;0.135
6.116;0.100
6.120;0.085
6.124;0.105
6.128;0.085
6.132;0.070
6.136;0.085
6.140;0.105
6.144;0.110
6.148;0.145
6.152;0.140
6.156;0.135
6.160;0.145
6.164;0.140
6.168;0.145
6.172;0.160
6.176;0.145
6.180;0.140
6.184;0.170
6.188;0.140
6.192;0.145
6.196;0.165
6.200;0.140
6.204;0.145
6.208;0.140
6.212;0.150
6.216;0.160
6.220;0.145
6.224;0.145
6.228;0.145
6.232;0.125
6.236;0.135
6.240;0.125
6.244;0.145
6.248;0.150
6.252;0.155
6.256;0.140
6.260;0.140
6.264;0.110
6.268;0.115
6.272;0.110
6.276;0.115
6.280;0.100
6.284;0.080
6.288;0.120
6.292;0.095
6.296;0.095
6.300;0.115
6.304;0.130
6.308;0.145
6.312;0.145
6.316;0.135
6.320;0.155
6.324;0.155
6.328;0.150
6.332;0.175
6.336;0.185
6.340;0.185
6.344;0.190
6.348;0.190
6.352;0.210
6.356;0.180
6.360;0.180
6.364;0.190
6.368;0.185
6.372;0.185
6.376;0.205
6.380;0.200
6.384;0.200
6.388;0.190
6.392;0.195
6.396;0.185
6.400;0.180
6.404;0.205
6.408;0.185
6.412;0.195
6.416;0.190
6.420;0.180
6.424;0.200
6.428;0.180
6.432;0.190
6.436;0.190
6.440;0.180
6.444;0.170
6.448;0.180
6.452;0.185
6.456;0.180
6.460;0.185
6.464;0.175
6.468;0.170
6.472;0.160
6.476;0.190
6.480;0.190
6.484;0.210
6.488;0.205
6.492;0.180
6.496;0.180
6.500;0.190
6.504;0.195
6.508;0.185
6.512;0.195
6.516;0.220
6.520;0.205
6.524;0.205
6.528;0.200
6.532;0.200
6.536;0.195
6.540;0.185
6.544;0.205
6.548;0.185
6.552;0.195
6.556;0.205
6.560;0.200
6.564;0.200
6.568;0.190
6.572;0.215
6.576;0.195
6.580;0.190
6.584;0.220
6.588;0.210
6.592;0.200
6.596;0.195
6.600;0.200
6.604;0.220
6.608;0.200
6.612;0.200
6.616;0.200
6.620;0.195
6.624;0.195
6.628;0.200
6.632;0.190
6.636;0.185
6.640;0.175
6.644;0.170
6.648;0.160
6.652;0.200
6.656;0.225
6.660;0.190
6.664;0.195
6.668;0.215
6.672;0.200
6.676;0.215
6.680;0.225
6.684;0.260
6.688;0.235
6.692;0.250
6.696;0.250
6.700;0.230
6.704;0.220
6.708;0.210
6.712;0.200
6.716;0.205
6.720;0.205
6.724;0.220
6.728;0.200
6.732;0.190
6.736;0.210
6.740;0.195
6.744;0.215
6.748;0.200
6.752;0.220
6.756;0.190
6.760;0.180
6.764;0.180
6.768;0.195
6.772;0.200
6.776;0.215
6.780;0.205
6.784;0.220
6.788;0.205
6.792;0.200
6.796;0.170
6.800;0.195
6.804;0.185
6.808;0.195
6.812;0.190
6.816;0.200
6.820;0.175
6.824;0.210
6.828;0.200
6.832;0.215
6.836;0.205
6.840;0.215
6.844;0.225
6.848;0.200
6.852;0.170
6.856;0.110
6.860;0.045
6.864;-0.025
6.868;-0.100
6.872;-0.135
6.876;-0.110
6.880;0.085
6.884;0.400
6.888;0.620
6.892;0.755
6.896;0.835
6.900;0.790
6.904;0.695
6.908;0.610
6.912;0.540
6.916;0.475
6.920;0.425
6.924;0.400
6.928;0.380
6.932;0.355
6.936;0.310
6.940;0.280
6.944;0.265
6.948;0.260
6.952;0.275
6.956;0.245
6.960;0.240
6.964;0.265
6.968;0.240
