Seconds;mV
0.000;0.110
0.004;0.080
0.008;0.070
0.012;0.075
0.016;0.070
0.020;0.075
0.024;0.100
0.028;0.095
0.032;0.095
0.036;0.090
0.040;0.095
0.044;0.125
0.048;0.150
0.052;0.130
0.056;0.145
0.060;0.145
0.064;0.150
0.068;0.140
0.072;0.170
0.076;0.160
0.080;0.150
0.084;0.155
0.088;0.155
0.092;0.165
0.096;0.165
0.100;0.155
0.104;0.155
0.108;0.150
0.112;0.170
0.116;0.160
0.120;0.165
0.124;0.160
0.128;0.185
0.132;0.155
0.136;0.155
0.140;0.145
0.144;0.170
0.148;0.160
0.152;0.140
0.156;0.155
0.160;0.140
0.164;0.160
0.168;0.160
0.172;0.130
0.176;0.140
0.180;0.125
0.184;0.130
0.188;0.140
0.192;0.140
0.196;0.150
0.200;0.135
0.204;0.135
0.208;0.130
0.212;0.130
0.216;0.125
0.220;0.140
0.224;0.135
0.228;0.145
0.232;0.130
0.236;0.130
0.240;0.145
0.244;0.160
0.248;0.115
0.252;0.145
0.256;0.140
0.260;0.130
0.264;0.155
0.268;0.145
0.272;0.130
0.276;0.145
0.280;0.140
0.284;0.165
0.288;0.140
0.292;0.155
0.296;0.150
0.300;0.145
0.304;0.160
0.308;0.165
0.312;0.175
0.316;0.175
0.320;0.195
0.324;0.170
0.328;0.165
0.332;0.155
0.336;0.165
0.340;0.150
0.344;0.160
0.348;0.160
0.352;0.160
0.356;0.145
0.360;0.160
0.364;0.155
0.368;0.160
0.372;0.140
0.376;0.140
0.380;0.145
0.384;0.165
0.388;0.160
0.392;0.165
0.396;0.190
0.400;0.180
0.404;0.200
0.408;0.185
0.412;0.200
0.416;0.205
0.420;0.185
0.424;0.190
0.428;0.190
0.432;0.185
0.436;0.170
0.440;0.180
0.444;0.180
0.448;0.185
0.452;0.190
0.456;0.190
0.460;0.170
0.464;0.175
0.468;0.185
0.472;0.180
0.476;0.200
0.480;0.190
0.484;0.195
0.488;0.175
0.492;0.190
0.496;0.180
0.500;0.175
0.504;0.180
0.508;0.185
0.512;0.160
0.516;0.170
0.520;0.180
0.524;0.170
0.528;0.180
0.532;0.195
0.536;0.200
0.540;0.165
0.544;0.190
0.548;0.185
0.552;0.175
0.556;0.200
0.560;0.185
0.564;0.195
0.568;0.165
0.572;0.150
0.576;0.090
0.580;-0.010
0.584;-0.095
0.588;-0.155
0.592;-0.115
0.596;0.040
0.600;0.345
0.604;0.640
0.608;0.780
0.612;0.850
0.616;0.830
0.620;0.755
0.624;0.635
0.628;0.540
0.632;0.490
0.636;0.435
0.640;0.410
0.644;0.375
0.648;0.355
0.652;0.315
0.656;0.300
0.660;0.290
0.664;0.255
0.668;0.265
0.672;0.275
0.676;0.255
0.680;0.250
0.684;0.225
0.688;0.245
0.692;0.215
0.696;0.195
0.700;0.170
0.704;0.150
0.708;0.140
0.712;0.115
0.716;0.115
0.720;0.125
0.724;0.125
0.728;0.150
0.732;0.160
0.736;0.140
0.740;0.170
0.744;0.160
0.748;0.165
0.752;0.170
0.756;0.175
0.760;0.180
0.764;0.180
0.768;0.175
0.772;0.180
0.776;0.185
0.780;0.160
0.784;0.155
0.788;0.165
0.792;0.150
0.796;0.155
0.800;0.165
0.804;0.160
0.808;0.180
0.812;0.165
0.816;0.155
0.820;0.135
0.824;0.145
0.828;0.125
0.832;0.125
0.836;0.140
0.840;0.145
0.844;0.150
0.848;0.130
0.852;0.140
0.856;0.135
0.860;0.120
0.864;0.115
0.868;0.115
0.872;0.125
0.876;0.130
0.880;0.110
0.884;0.145
0.888;0.145
0.892;0.135
0.896;0.160
0.900;0.170
0.904;0.180
0.908;0.180
0.912;0.185
0.916;0.165
0.920;0.185
0.924;0.175
0.928;0.180
0.932;0.190
0.936;0.205
0.940;0.220
0.944;0.205
0.948;0.205
0.952;0.195
0.956;0.180
0.960;0.180
0.964;0.190
0.968;0.190
0.972;0.170
0.976;0.180
0.980;0.175
0.984;0.160
0.988;0.165
0.992;0.170
0.996;0.175
1.000;0.175
1.004;0.175
1.008;0.175
1.012;0.165
1.016;0.145
1.020;0.160
1.024;0.165
1.028;0.155
1.032;0.145
1.036;0.170
1.040;0.150
1.044;0.145
1.048;0.140
1.052;0.145
1.056;0.145
1.060;0.160
1.064;0.150
1.068;0.155
1.072;0.140
1.076;0.130
1.080;0.140
1.084;0.145
1.088;0.155
1.092;0.160
1.096;0.160
1.100;0.135
1.104;0.155
1.108;0.150
1.112;0.175
1.116;0.170
1.120;0.175
1.124;0.155
1.128;0.145
1.132;0.150
1.136;0.155
1.140;0.150
1.144;0.160
1.148;0.160
1.152;0.155
1.156;0.150
1.160;0.170
1.164;0.190
1.168;0.170
1.172;0.180
1.176;0.165
1.180;0.160
1.184;0.145
1.188;0.145
1.192;0.155
1.196;0.155
1.200;0.145
1.204;0.145
1.208;0.160
1.212;0.160
1.216;0.160
1.220;0.160
1.224;0.165
1.228;0.150
1.232;0.150
1.236;0.155
1.240;0.145
1.244;0.160
1.248;0.140
1.252;0.140
1.256;0.140
1.260;0.150
1.264;0.145
1.268;0.155
1.272;0.135
1.276;0.160
1.280;0.175
1.284;0.175
1.288;0.185
1.292;0.195
1.296;0.195
1.300;0.190
1.304;0.195
1.308;0.210
1.312;0.200
1.316;0.210
1.320;0.185
1.324;0.180
1.328;0.175
1.332;0.195
1.336;0.205
1.340;0.175
1.344;0.195
1.348;0.190
1.352;0.180
1.356;0.155
1.360;0.185
1.364;0.155
1.368;0.175
1.372;0.185
1.376;0.175
1.380;0.170
1.384;0.175
1.388;0.170
1.392;0.175
1.396;0.190
1.400;0.195
1.404;0.180
1.408;0.190
1.412;0.170
1.416;0.165
1.420;0.175
1.424;0.170
1.428;0.180
1.432;0.175
1.436;0.195
1.440;0.210
1.444;0.175
1.448;0.195
1.452;0.200
1.456;0.185
1.460;0.185
1.464;0.145
1.468;0.080
1.472;-0.020
1.476;-0.095
1.480;-0.170
1.484;-0.140
1.488;0.015
1.492;0.305
1.496;0.625
1.500;0.780
1.504;0.825
1.508;0.830
1.512;0.730
1.516;0.615
1.520;0.545
1.524;0.475
1.528;0.455
1.532;0.430
1.536;0.395
1.540;0.360
1.544;0.320
1.548;0.300
1.552;0.285
1.556;0.280
1.560;0.275
1.564;0.260
1.568;0.275
1.572;0.260
1.576;0.255
1.580;0.240
1.584;0.225
1.588;0.195
1.592;0.185
1.596;0.150
1.600;0.140
1.604;0.130
1.608;0.130
1.612;0.135
1.616;0.120
1.620;0.135
1.624;0.145
1.628;0.145
1.632;0.165
1.636;0.130
1.640;0.140
1.644;0.155
1.648;0.140
1.652;0.160
1.656;0.200
1.660;0.180
1.664;0.160
1.668;0.170
1.672;0.140
1.676;0.155
1.680;0.165
1.684;0.160
1.688;0.170
1.692;0.160
1.696;0.160
1.700;0.155
1.704;0.145
1.708;0.175
1.712;0.170
1.716;0.170
1.720;0.180
1.724;0.150
1.728;0.145
1.732;0.145
1.736;0.135
1.740;0.130
1.744;0.125
1.748;0.125
1.752;0.125
1.756;0.125
1.760;0.115
1.764;0.140
1.768;0.120
1.772;0.110
1.776;0.130
1.780;0.130
1.784;0.125
1.788;0.130
1.792;0.155
1.796;0.145
1.800;0.180
1.804;0.180
1.808;0.165
1.812;0.190
1.816;0.200
1.820;0.195
1.824;0.200
1.828;0.205
1.832;0.195
1.836;0.195
1.840;0.185
1.844;0.185
1.848;0.210
1.852;0.200
1.856;0.205
1.860;0.205
1.864;0.200
1.868;0.205
1.872;0.195
1.876;0.205
1.880;0.165
1.884;0.185
1.888;0.190
1.892;0.200
1.896;0.190
1.900;0.180
1.904;0.180
1.908;0.185
1.912;0.170
1.916;0.175
1.920;0.165
1.924;0.175
1.928;0.170
1.932;0.180
1.936;0.170
1.940;0.175
1.944;0.160
1.948;0.155
1.952;0.160
1.956;0.170
1.960;0.160
1.964;0.160
1.968;0.160
1.972;0.180
1.976;0.165
1.980;0.185
1.984;0.170
1.988;0.165
1.992;0.160
1.996;0.155
2.000;0.160
2.004;0.170
2.008;0.170
2.012;0.170
2.016;0.165
2.020;0.150
2.024;0.160
2.028;0.160
2.032;0.165
2.036;0.160
2.040;0.165
2.044;0.160
2.048;0.165
2.052;0.175
2.056;0.160
2.060;0.160
2.064;0.155
2.068;0.150
2.072;0.165
2.076;0.150
2.080;0.180
2.084;0.180
2.088;0.155
2.092;0.165
2.096;0.160
2.100;0.165
2.104;0.150
2.108;0.150
2.112;0.135
2.116;0.160
2.120;0.165
2.124;0.140
2.128;0.155
2.132;0.160
2.136;0.160
2.140;0.140
2.144;0.160
2.148;0.140
2.152;0.140
2.156;0.150
2.160;0.140
2.164;0.140
2.168;0.155
2.172;0.145
2.176;0.115
2.180;0.135
2.184;0.145
2.188;0.160
2.192;0.165
2.196;0.185
2.200;0.160
2.204;0.175
2.208;0.190
2.212;0.200
2.216;0.195
2.220;0.170
2.224;0.165
2.228;0.155
2.232;0.160
2.236;0.160
2.240;0.170
2.244;0.180
2.248;0.180
